water_level,precipitation,rise_rate,status
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.300000000000001,0.3,0.3,normal
0.7000000000000011,0.4,0.10000000000000003,normal
0.7000000000000011,0.0,0.0,normal
0.800000000000001,0.1,0.1,normal
1.8000000000000012,1.0,0.9,normal
2.4000000000000012,0.6,0.0,normal
2.2000000000000015,0.1,0.0,normal
1.9000000000000012,0.1,0.0,normal
2.0000000000000013,0.1,0.0,normal
2.300000000000001,0.4,0.30000000000000004,normal
1.6000000000000012,0.3,0.0,normal
1.2000000000000013,0.2,0.0,normal
1.3000000000000012,0.2,0.0,normal
1.500000000000001,0.3,0.09999999999999998,normal
1.5000000000000013,0.1,0.0,normal
1.1000000000000012,0.0,0.0,normal
0.800000000000001,0.0,0.0,normal
0.6000000000000011,0.0,0.0,normal
0.5000000000000011,0.1,0.1,normal
0.20000000000000112,0.0,0.0,normal
0.30000000000000115,0.2,0.2,normal
0.30000000000000115,0.0,0.0,normal
0.30000000000000115,0.0,0.0,normal
0.40000000000000113,0.1,0.1,normal
0.40000000000000113,0.1,0.0,normal
0.5000000000000011,0.1,0.0,normal
0.5000000000000011,0.2,0.1,normal
0.6000000000000011,0.1,0.0,normal
0.7000000000000011,0.1,0.0,normal
0.7000000000000012,0.1,0.0,normal
0.7000000000000012,0.1,0.0,normal
0.8000000000000012,0.2,0.1,normal
0.8000000000000012,0.2,0.0,normal
0.7000000000000012,0.0,0.0,normal
0.6000000000000012,0.0,0.0,normal
0.5000000000000011,0.0,0.0,normal
0.40000000000000113,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.20000000000000112,0.2,0.2,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000112,0.1,0.1,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.20000000000000112,0.1,0.1,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.20000000000000112,0.2,0.2,normal
0.20000000000000112,0.0,0.0,normal
0.30000000000000115,0.1,0.1,normal
0.30000000000000115,0.0,0.0,normal
0.30000000000000115,0.0,0.0,normal
0.5000000000000011,0.2,0.2,normal
0.30000000000000115,0.0,0.0,normal
0.30000000000000115,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.20000000000000112,0.2,0.2,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000112,0.1,0.1,normal
0.20000000000000112,0.1,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000112,0.1,0.1,normal
0.40000000000000113,0.3,0.19999999999999998,normal
0.4000000000000011,0.0,0.0,normal
0.4000000000000011,0.0,0.0,normal
0.4000000000000011,0.0,0.0,normal
0.4000000000000011,0.0,0.0,normal
0.30000000000000104,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000112,0.1,0.1,normal
0.20000000000000112,0.1,0.0,normal
0.30000000000000115,0.1,0.0,normal
0.40000000000000113,0.1,0.0,normal
0.5000000000000011,0.1,0.0,normal
0.5000000000000011,0.0,0.0,normal
0.40000000000000113,0.0,0.0,normal
0.30000000000000115,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000112,0.1,0.1,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000112,0.1,0.1,normal
0.20000000000000112,0.1,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.30000000000000115,0.1,0.1,normal
0.30000000000000115,0.0,0.0,normal
0.30000000000000115,0.0,0.0,normal
0.20000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.10000000000000112,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
